Pos,Age,Tm,MP,FG%,3P,3P%,2P,2P%,eFG%,FT,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,Performance
1,30.0,6,10.6,0.423,1.1,0.381,0.3,0.714,0.59,0.3,0.833,0.9,0.4,0.2,0.1,0.3,1.1,4.1,0.0
3,34.0,28,26.8,0.398,1.2,0.341,0.9,0.506,0.51,0.9,0.764,3.2,2.6,0.9,0.6,0.9,2.7,6.3,0.0
3,34.0,13,26.9,0.402,1.2,0.348,0.9,0.506,0.517,0.9,0.78,3.1,2.6,0.9,0.6,0.9,2.8,6.4,0.0
3,34.0,3,24.0,0.25,0.5,0.167,0.5,0.5,0.313,1.5,0.6,5.0,2.5,0.0,0.5,1.0,2.5,4.0,0.0
4,23.0,28,28.6,0.407,2.0,0.358,2.6,0.454,0.494,3.3,0.863,4.6,1.5,0.9,0.2,1.0,1.6,14.5,0.0
4,23.0,8,28.8,0.404,1.9,0.345,2.8,0.46,0.488,3.5,0.861,4.7,1.6,1.0,0.2,1.0,1.7,14.8,0.0
4,23.0,0,24.8,0.464,2.5,0.588,0.8,0.273,0.643,0.8,0.001,4.5,0.5,0.5,0.3,1.0,1.3,9.8,0.0
0,30.0,27,8.1,0.594,0.1,0.5,0.9,0.6,0.609,0.2,0.8,1.3,0.4,0.3,0.3,0.4,1.2,2.2,0.0
0,23.0,28,9.6,0.527,0.2,0.333,1.1,0.6,0.573,0.5,0.48,2.5,0.9,0.4,0.5,0.5,1.6,3.4,0.0
0,23.0,11,9.6,0.519,0.2,0.286,1.1,0.605,0.558,0.5,0.458,2.3,0.9,0.4,0.5,0.6,1.6,3.3,0.0
0,23.0,21,9.0,0.667,1.0,0.001,1.0,0.5,0.833,1.0,0.001,6.0,1.0,0.0,0.0,0.0,1.0,6.0,0.0
6,30.0,0,29.6,0.437,2.8,0.394,2.6,0.495,0.55,1.1,0.78,3.4,3.0,0.9,0.3,1.3,1.7,14.6,0.0
1,33.0,8,31.9,0.487,2.4,0.402,4.9,0.542,0.566,4.6,0.883,3.7,2.6,0.6,0.1,2.3,1.9,21.4,1.0
1,23.0,21,22.9,0.577,0.5,0.322,3.7,0.645,0.611,1.2,0.745,6.1,0.8,0.4,1.3,1.7,1.3,10.0,0.0
6,26.0,23,34.1,0.473,2.1,0.347,7.4,0.529,0.526,5.3,0.841,4.6,5.7,0.8,0.3,2.5,2.8,26.5,1.0
6,21.0,12,11.8,0.421,0.6,0.414,1.9,0.424,0.471,1.4,0.763,1.4,0.9,0.4,0.0,0.6,1.0,6.8,0.0
1,30.0,27,20.8,0.489,0.8,0.315,2.7,0.585,0.545,1.9,0.739,5.9,0.4,0.7,0.9,0.5,2.0,9.7,0.0
6,22.0,4,13.6,0.328,0.6,0.25,0.9,0.414,0.393,0.6,0.682,2.0,1.1,0.5,0.2,0.7,1.1,4.3,0.0
3,23.0,15,16.3,0.462,0.5,0.4,1.0,0.5,0.538,0.3,0.5,1.3,1.0,1.0,0.5,1.0,1.3,3.8,0.0
0,25.0,3,2.8,0.5,0.3,0.6,0.3,0.429,0.625,0.3,0.001,0.9,0.1,0.1,0.1,0.1,0.2,1.6,0.0
4,19.0,26,22.4,0.446,1.2,0.314,2.6,0.55,0.515,0.8,0.792,2.2,2.0,0.5,0.1,1.1,1.7,9.5,0.0
6,21.0,7,15.2,0.5,0.4,0.391,1.3,0.551,0.563,0.4,0.585,2.4,0.8,0.5,0.2,0.5,1.2,4.4,0.0
4,26.0,28,36.1,0.468,1.9,0.395,4.6,0.505,0.535,2.9,0.899,4.5,3.5,1.2,0.8,1.4,2.0,17.7,0.0
4,26.0,23,36.4,0.463,1.8,0.387,4.5,0.503,0.529,2.8,0.897,4.3,3.6,1.2,0.8,1.4,2.1,17.2,0.0
